customer_id,age,age_group,region,segment,channel,campaign_group,offer_type,prior_purchases,contacted,opened,clicked,converted,revenue
1,25,21-30,Central,New,SMS,A,Bundle,3,1,0,0,0,0.0
2,58,51-60,West,New,Email,B,Bundle,2,1,0,0,0,0.0
3,53,51-60,South,New,SMS,A,Cashback,6,1,1,0,0,0.0
4,42,41-50,Central,New,SMS,B,Bundle,3,1,1,1,0,0.0
5,42,41-50,Central,High-Value,SMS,A,Loyalty-Points,2,1,0,0,0,0.0
6,63,61-69,North,Active,Web,B,Cashback,1,1,1,0,0,0.0
7,25,21-30,North,Active,Email,B,Discount,4,1,0,0,0,0.0
8,55,51-60,South,Active,SMS,A,Bundle,0,1,0,0,0,0.0
9,30,21-30,West,Active,Email,A,Discount,1,1,1,0,0,0.0
10,25,21-30,East,New,Email,A,Loyalty-Points,5,1,1,0,0,0.0
11,46,41-50,East,New,Email,A,Loyalty-Points,1,1,0,0,0,0.0
12,68,61-69,East,Active,SMS,B,Loyalty-Points,4,1,0,0,0,0.0
13,57,51-60,East,Dormant,Push,A,Discount,0,1,0,0,0,0.0
14,58,51-60,West,New,Web,B,Discount,2,1,0,0,0,0.0
15,56,51-60,North,Dormant,Email,A,Discount,2,1,1,1,0,0.0
16,59,51-60,East,Active,SMS,B,Loyalty-Points,1,1,1,0,0,0.0
17,46,41-50,South,Active,SMS,A,Discount,0,1,0,0,0,0.0
18,27,21-30,West,New,SMS,A,Discount,3,1,1,0,0,0.0
19,62,61-69,North,Active,Email,B,Loyalty-Points,4,1,0,0,0,0.0
20,43,41-50,North,Active,Push,B,Loyalty-Points,1,1,1,1,0,0.0
21,45,41-50,East,New,SMS,B,Cashback,1,1,1,0,0,0.0
22,39,31-40,East,Dormant,Web,B,Cashback,1,1,0,0,0,0.0
23,29,21-30,East,Active,SMS,A,Cashback,5,1,1,0,0,0.0
24,66,61-69,Central,New,SMS,A,Loyalty-Points,2,1,1,0,0,0.0
